b'Date,Open,High,Low,Close,Volume,Adj Close
2014-05-19,519.702382,529.782394,517.58537,528.862391,1277700,528.862391
2014-05-16,521.39238,521.802379,515.442347,520.632362,1485200,520.632362
2014-05-15,525.702357,525.872379,517.422325,519.982324,1704300,519.982324
2014-05-14,533.002407,533.002407,525.292358,526.652412,1191700,526.652412
2014-05-13,530.892433,536.072411,529.512367,533.092437,1653400,533.092437
2014-05-12,523.512391,530.192393,519.012379,529.922427,1912500,529.922427
2014-05-09,510.752299,519.902332,504.202292,518.732375,2439400,518.732375
2014-05-08,508.462297,517.232351,506.452298,511.002313,2021300,511.002313
2014-05-07,515.792305,516.68232,503.302272,509.962321,3224300,509.962321
2014-05-06,525.232379,526.812396,515.062337,515.14233,1689000,515.14233
2014-05-05,524.822381,528.902418,521.322364,527.812392,1024100,527.812392
2014-05-02,533.762426,534.002403,525.612389,527.932411,1688500,527.932411
2014-05-01,527.112413,532.932391,523.882364,531.352435,1905500,531.352435
2014-04-30,527.602405,528.002366,522.522372,526.662388,1751100,526.662388
2014-04-29,516.902344,529.462425,516.322324,527.70241,2699000,527.70241
2014-04-28,517.182348,518.602319,502.802274,517.152359,3335500,517.152359
2014-04-25,522.512395,524.702361,515.422333,516.182352,2100300,516.182352
2014-04-24,530.072374,531.652391,522.122349,525.162363,1883100,525.162363
2014-04-23,533.792415,533.872408,526.252389,526.942391,2052300,526.942391
2014-04-22,528.642366,537.232453,527.512375,534.812425,2365300,534.812425
2014-04-21,536.1024,536.702435,525.602352,528.622414,2566700,528.622414
2014-04-17,548.81249,549.502492,531.152424,536.1024,6809500,536.1024
2014-04-16,543.002488,557.002492,540.00244,556.54249,4893200,556.54249
2014-04-15,536.822454,538.452412,518.462348,536.442444,3855000,536.442444
2014-04-14,538.252462,544.10249,529.56237,532.522392,2575000,532.522392
2014-04-11,532.552381,540.00244,526.532392,530.602392,3924800,530.602392
2014-04-10,565.002582,565.002582,539.902434,540.952433,4036800,540.952433
2014-04-09,559.622532,565.372554,552.952506,564.142557,3330800,564.142557
2014-04-08,542.602466,555.0025,541.612446,554.902495,3151200,554.902495
2014-04-07,540.742445,548.482483,527.152379,538.152456,4401600,538.152456
2014-04-04,574.652582,577.772589,543.002488,543.14246,6369300,543.14246
2014-04-03,569.852553,587.282679,564.132581,569.742571,5099100,569.742571
2014-04-02,599.992707,604.832763,562.192568,567.002574,147100,567.002574
2014-04-01,558.712504,568.452595,558.712504,567.162558,7900,567.162558
2014-03-31,566.892592,567.002574,556.932537,556.972503,10800,556.972503
2014-03-28,561.202549,566.43259,558.672539,559.992565,41200,559.992565
2014-03-27,568.00257,568.00257,552.922516,558.462551,13100,558.462551
'
